COD_INST,COD_ALUM,FORMA,S1_016,S1_017,S1_018,S1_019,S1_020,S1_041,S1_042,S1_043,S1_044,S1_045,S1_061,S1_062,S1_063,S1_064,S1_065,S1_081,S1_082,S1_083,S1_084,S1_085,S1_021,S1_022,S1_023,S1_024,S1_025,S1_046,S1_047,S1_048,S1_049,S1_050,S1_066,S1_067,S1_068,S1_069,S1_070,S1_076,S1_077,S1_078,S1_079,S1_080
INST002,4,4,C,0,C,A,D,0,0,0,0,0,A,B,D,A,D,B,A,A,A,B,A,B,A,A,B,C,D,B,B,D,A,B,0,C,0,0,0,0,0,0
INST002,9,4,C,A,C,A,D,D,A,D,C,A,C,B,A,A,D,C,A,A,A,A,A,D,A,C,B,C,A,D,D,A,D,C,C,D,0,0,0,0,0,0
INST002,14,4,C,B,C,A,D,A,A,D,A,A,A,A,A,C,D,A,A,A,A,A,A,B,A,B,D,C,A,B,D,A,D,C,C,C,B,C,D,D,B,D
INST002,19,4,C,D,C,A,D,A,C,B,C,A,D,B,A,D,D,D,A,A,A,A,A,D,D,C,B,C,A,B,B,C,A,A,B,C,D,A,D,D,B,A
INST002,24,4,C,D,B,A,A,C,C,D,D,B,A,B,D,A,D,A,C,A,A,A,A,A,D,B,D,C,A,D,D,C,C,C,B,C,C,C,D,0,C,0
INST002,29,4,C,C,C,A,D,A,C,C,C,A,C,B,C,C,B,B,A,A,A,A,0,0,0,0,0,C,D,B,C,D,D,B,D,A,B,C,D,0,D,A
INST002,34,4,C,A,D,A,D,B,C,C,A,A,A,C,C,C,D,D,A,A,A,A,A,B,B,B,D,C,A,B,0,D,A,A,B,D,B,0,0,0,0,0
INST002,39,4,C,D,C,A,A,C,C,B,B,A,A,B,D,B,D,C,A,A,A,A,A,B,D,C,B,C,B,D,D,C,C,C,B,C,B,B,D,D,C,A
INST004,2,4,C,A,C,A,D,C,A,B,A,A,A,B,D,B,D,A,A,A,C,A,D,D,A,C,D,C,D,D,B,C,C,C,B,C,B,C,D,A,D,D
INST004,7,4,C,D,B,A,D,C,A,C,B,A,A,B,A,A,D,A,A,A,A,A,A,D,A,C,D,C,A,D,A,B,C,C,B,C,B,C,D,A,C,C
INST004,12,4,C,A,C,A,D,B,A,B,B,B,A,B,A,B,D,A,A,A,A,A,A,D,A,C,D,C,D,D,B,C,C,C,B,C,B,C,D,A,A,D
INST004,17,4,C,D,C,A,D,C,C,B,B,B,A,B,A,A,D,A,A,A,A,A,A,D,D,C,D,C,A,D,C,B,C,C,A,C,B,C,D,B,C,D
INST006,5,4,C,B,C,A,D,C,C,B,D,B,A,A,A,A,D,A,A,A,A,A,A,D,B,B,C,C,D,D,B,B,C,C,C,C,B,C,D,D,D,C
INST006,10,4,C,D,B,A,D,C,A,B,B,B,A,B,A,B,D,A,A,A,A,A,A,A,B,C,C,C,A,D,0,B,D,C,D,C,B,A,A,B,C,B
INST006,15,4,C,D,C,A,D,C,A,B,A,B,A,B,A,C,D,A,A,A,A,0,A,B,A,B,C,C,D,D,B,D,D,C,C,C,B,D,D,D,D,D
INST006,20,4,C,B,A,A,D,C,A,B,D,A,A,B,B,A,D,B,A,A,A,A,A,D,A,C,B,C,D,D,A,C,C,C,B,C,B,C,D,D,A,A
INST006,25,4,C,D,C,A,D,C,A,B,B,B,A,B,A,A,D,A,A,A,A,A,A,B,C,C,D,C,A,D,B,C,C,C,C,C,B,C,B,D,D,B
INST006,30,4,C,D,A,A,D,C,A,D,B,B,A,B,A,B,D,A,A,A,A,A,A,A,B,C,D,C,A,D,B,D,C,C,C,C,B,C,D,C,A,C
INST006,35,4,C,D,C,A,D,C,A,B,B,B,A,B,A,B,D,A,A,A,A,A,A,D,B,C,D,C,A,D,B,B,C,C,B,C,B,C,D,A,C,A
INST006,40,4,C,D,C,A,D,C,A,B,B,B,A,B,D,B,D,A,A,A,A,A,A,A,A,C,D,C,A,D,D,B,C,C,B,C,B,C,D,A,D,A
INST006,45,4,C,D,B,A,D,C,A,B,B,A,A,B,D,A,D,A,A,A,A,A,A,A,A,C,D,C,A,D,C,B,C,B,B,C,B,B,D,D,C,C
INST007,4,4,C,D,B,A,D,B,A,B,A,A,C,D,A,A,D,A,A,A,A,A,A,B,A,A,D,A,D,C,B,B,A,B,C,A,D,A,C,C,B,D
INST007,9,4,C,D,B,A,D,C,A,C,A,B,B,A,C,D,B,A,A,A,A,A,A,A,B,C,A,D,D,B,C,B,C,C,A,C,C,A,D,D,B,A
INST007,14,4,C,B,B,A,D,C,A,B,B,D,C,B,A,C,B,C,A,A,A,C,A,D,C,A,D,C,B,A,D,C,C,C,B,C,B,D,D,D,C,A
