COD_INST,COD_ALUM,FORMA,S4_005,S4_011,S4_015,S4_019,S4_024,S4_029,S4_034,S4_040,S4_046,S4_050,S4_055,S4_057,S4_061,S4_064,S4_072,S4_081,S4_085,S4_092,S4_097,S4_002,S4_007,S4_012,S4_021,S4_025,S4_030,S4_035,S4_039,S4_044,S4_047,S4_052,S4_058,S4_065,S4_069,S4_073,S4_078,S4_086,S4_096,S4_100
INST002,7,2,B,A,C,C,C,B,D,C,C,B,A,C,B,C,B,D,A,A,C,A,C,D,D,B,B,A,B,A,A,B,C,C,B,A,A,D,C,D
INST002,12,2,B,A,C,C,C,B,A,C,B,B,C,B,B,C,D,B,A,A,A,A,D,D,B,B,B,A,A,D,B,B,B,A,B,A,A,C,B,C
INST002,22,2,D,B,C,B,B,B,A,B,C,B,B,D,D,C,A,B,D,B,C,C,C,B,D,B,B,A,C,D,C,B,C,A,A,A,B,C,B,C
INST002,27,2,C,A,C,B,C,B,A,A,C,B,B,D,B,C,A,A,A,A,C,A,C,D,C,A,B,B,B,B,C,B,C,A,D,A,A,B,A,A
INST002,32,2,D,D,D,C,C,B,A,B,D,B,C,C,D,A,D,C,A,D,A,A,D,D,D,B,B,C,B,C,A,B,B,A,B,D,A,C,B,C
INST002,37,2,B,A,D,C,X,B,A,D,C,B,C,C,B,C,C,D,A,A,D,B,C,D,D,B,B,A,B,D,C,C,C,A,C,B,A,C,B,C
INST004,5,2,C,A,C,B,C,B,D,D,B,B,D,B,B,C,D,A,A,A,B,A,C,D,D,B,B,A,B,A,B,B,D,A,B,A,A,C,B,D
INST004,10,2,D,A,A,X,C,B,A,D,B,C,X,C,C,A,B,A,D,A,A,A,C,D,D,B,B,A,B,A,B,B,C,A,B,A,A,C,B,C
INST004,20,2,D,A,C,B,C,B,D,C,B,B,D,B,D,C,D,C,A,A,B,A,C,D,D,B,B,A,A,D,A,D,C,A,B,A,A,C,B,C
INST006,3,2,B,A,D,D,C,B,D,D,D,A,C,B,D,C,D,B,A,A,A,A,C,D,D,B,B,D,B,D,A,B,A,A,C,A,A,C,B,B
INST006,8,2,X,A,A,C,C,X,A,D,C,C,D,B,C,C,C,C,A,A,A,C,B,D,D,B,B,X,C,A,B,A,A,D,A,A,A,C,B,C
INST006,13,2,C,A,A,B,C,B,A,D,D,B,B,D,D,A,B,C,A,A,B,C,D,D,A,B,B,A,A,B,A,B,A,A,B,A,A,C,B,C
INST006,18,2,C,A,C,D,C,B,D,C,A,B,A,B,D,C,D,A,A,A,A,B,C,D,D,B,B,A,C,A,B,C,C,A,B,B,B,C,B,C
INST006,23,2,D,A,D,C,C,B,D,C,D,B,A,B,D,A,A,C,A,A,D,A,D,D,D,B,B,B,B,D,B,B,A,A,B,B,A,C,B,C
INST006,28,2,C,D,D,B,C,B,D,D,D,B,B,B,B,C,A,B,A,A,D,A,D,D,D,B,B,A,B,A,B,A,A,A,B,B,A,C,B,C
INST006,33,2,B,D,C,C,B,B,A,D,B,B,B,B,D,B,A,A,A,A,C,B,D,D,B,B,B,A,A,X,A,A,C,A,B,A,X,C,B,D
INST006,48,2,C,A,C,C,B,B,D,C,B,A,B,C,D,C,A,D,A,A,A,A,C,D,C,B,B,A,B,A,A,B,A,A,B,D,A,C,A,B
INST007,2,2,D,B,A,C,A,B,A,C,A,B,C,C,D,C,C,C,A,A,C,A,D,D,A,D,B,A,C,B,B,A,A,C,B,A,A,C,B,C
INST007,7,2,D,D,C,C,B,C,A,D,C,B,A,C,D,C,A,C,A,A,B,A,C,D,C,A,B,A,C,D,A,A,A,D,C,C,D,B,C,A
INST007,12,2,C,B,B,B,D,C,A,C,A,B,C,B,C,C,D,C,A,A,C,A,C,D,D,B,B,D,C,B,B,A,C,A,A,A,A,C,D,C
INST007,17,2,B,B,D,D,D,B,D,D,C,C,C,B,D,C,D,A,A,A,C,A,D,D,C,A,B,C,A,A,C,C,D,D,B,B,A,B,A,A
INST007,22,2,D,C,A,C,A,C,D,A,D,B,B,A,B,A,A,B,B,A,C,A,C,A,D,A,B,A,B,D,A,B,A,A,C,C,A,C,B,C
INST007,27,2,D,C,A,B,B,C,A,D,C,B,C,A,C,D,A,B,D,A,B,A,D,B,D,B,B,A,C,D,A,D,C,A,B,A,C,C,A,X
INST007,32,2,C,A,D,B,B,A,A,C,C,B,B,C,D,D,A,B,D,A,C,A,A,D,D,B,D,A,D,A,A,B,D,C,A,B,C,C,C,C
INST007,37,2,C,B,A,B,D,C,D,C,C,D,B,C,C,C,A,D,A,A,B,A,D,A,D,A,B,A,B,B,A,C,C,A,B,B,A,C,B,C
INST007,42,2,C,D,A,C,C,B,D,B,C,A,C,B,D,A,D,C,A,A,C,C,A,C,D,B,B,A,D,D,A,B,D,C,A,A,A,C,C,C
INST007,47,2,C,A,B,B,B,B,A,C,B,B,B,C,C,B,B,B,A,C,A,A,A,D,C,C,B,A,D,D,A,B,B,A,A,B,A,C,B,D
INST007,52,2,C,D,A,B,B,A,A,B,B,B,B,C,D,B,A,B,A,C,A,A,B,A,A,B,B,D,A,B,A,B,A,A,B,C,A,C,A,C
INST007,57,2,D,A,B,B,A,B,B,C,B,B,B,C,C,C,B,C,A,A,A,A,A,C,A,B,B,D,C,D,A,B,B,A,A,A,A,C,B,C
INST007,62,2,D,D,B,B,C,C,D,D,A,B,D,C,B,B,A,A,A,A,A,A,C,C,D,B,B,A,D,A,A,A,A,A,B,A,A,C,A,C
INST007,67,2,C,D,C,C,B,C,A,C,B,A,B,B,B,D,B,D,A,A,C,D,B,A,C,B,B,B,D,A,A,A,D,A,A,B,A,C,B,B
INST007,72,2,C,D,D,B,C,B,D,B,B,B,D,C,C,C,B,A,A,A,D,A,A,D,D,D,B,A,B,D,B,B,A,A,B,A,A,C,C,C
INST007,77,2,A,D,A,C,B,B,C,D,C,A,B,A,D,B,B,D,D,B,B,C,A,D,A,B,B,C,D,D,A,B,C,A,A,C,A,B,B,A
INST007,82,2,D,D,D,C,D,C,A,C,A,B,D,D,A,D,A,B,A,B,D,A,C,B,B,A,B,A,A,B,A,D,B,C,B,A,C,C,C,A
INST007,87,2,D,C,A,D,B,A,A,C,C,B,B,B,D,C,A,C,D,C,C,A,A,B,A,B,B,A,C,B,D,C,D,A,A,B,A,B,A,A
INST008,3,2,D,A,C,A,B,B,A,C,A,B,D,B,A,B,A,D,A,A,A,A,C,A,A,B,B,D,C,A,B,B,A,A,B,A,A,C,A,C
INST008,8,2,D,D,B,B,A,D,A,C,A,B,A,D,X,C,D,C,X,A,C,A,B,C,D,B,B,A,C,B,A,D,D,A,B,A,A,C,A,A
INST009,4,2,D,D,C,C,C,A,A,B,B,B,B,C,B,D,D,C,A,D,A,A,C,D,D,B,B,C,C,A,B,B,A,A,A,D,A,C,B,C
INST010,4,2,D,D,B,C,C,B,D,D,C,B,A,B,A,D,B,A,A,A,A,A,C,D,D,B,B,A,A,D,C,C,D,A,D,D,A,B,B,C
INST011,8,2,D,D,A,B,B,B,A,C,D,A,B,B,C,C,B,B,A,C,A,A,C,D,C,B,B,A,D,A,A,B,A,D,B,A,A,C,B,C
