COD_INST,COD_ALUM,FORMA,S4_006,S4_009,S4_016,S4_020,S4_023,S4_027,S4_031,S4_036,S4_038,S4_043,S4_048,S4_054,S4_059,S4_066,S4_074,S4_077,S4_083,S4_087,S4_093,S4_095,S4_003,S4_008,S4_013,S4_022,S4_026,S4_032,S4_037,S4_042,S4_049,S4_053,S4_060,S4_062,S4_067,S4_070,S4_075,S4_082,S4_088,S4_090,S4_094
INST002,4,4,C,B,B,D,C,D,A,C,A,C,C,X,D,C,C,B,D,D,A,B,A,A,B,C,D,A,B,C,B,B,A,A,B,D,D,B,B,B,B
INST002,9,4,B,B,A,B,B,D,C,B,D,D,B,C,A,D,D,B,C,D,A,B,D,A,C,C,A,A,D,C,D,B,B,C,D,D,B,B,B,A,A
INST002,14,4,A,C,A,B,C,D,B,C,A,D,B,A,D,D,B,B,D,B,C,B,C,B,A,C,D,A,D,B,D,B,A,A,B,C,A,A,B,C,C
INST002,19,4,A,B,B,D,A,D,A,B,A,C,D,A,D,B,B,B,A,B,B,B,C,A,D,B,A,A,A,C,A,B,A,A,B,C,D,A,B,C,C
INST002,24,4,A,B,B,D,B,D,D,C,A,C,C,A,A,A,B,B,D,D,A,B,B,A,C,A,D,A,B,C,B,B,A,C,A,D,A,B,A,A,A
INST002,29,4,B,B,A,B,C,D,A,A,D,B,A,X,X,A,B,B,A,D,B,B,D,X,C,C,A,A,D,D,A,B,B,A,B,C,B,B,B,A,C
INST002,34,4,B,B,A,D,C,D,A,A,B,D,C,D,A,X,B,A,C,D,A,A,C,C,B,A,D,A,D,B,B,A,C,A,C,D,B,B,A,D,C
INST002,39,4,B,B,D,D,C,D,B,C,B,C,C,A,B,C,C,B,D,C,A,B,B,B,B,C,A,A,B,C,A,C,A,A,A,D,B,B,B,C,C
INST004,2,4,C,D,A,B,B,D,B,A,C,C,B,A,A,D,B,B,D,D,C,D,C,B,C,C,D,A,A,C,A,B,B,C,C,D,A,B,D,B,C
INST004,7,4,B,B,B,B,C,D,D,A,A,C,B,C,B,C,C,B,D,D,A,B,D,B,C,C,D,A,A,C,B,A,B,D,B,D,A,B,B,B,C
INST004,12,4,B,B,B,B,C,D,A,A,B,C,B,X,B,D,C,B,A,D,C,B,X,B,A,D,A,A,A,D,B,B,A,A,A,D,B,D,A,A,C
INST004,17,4,A,D,A,D,C,D,C,A,A,D,B,A,B,D,C,B,A,D,A,B,A,A,B,B,D,A,A,C,B,B,A,C,A,D,C,C,B,B,C
INST006,5,4,B,A,D,B,C,D,B,A,A,C,D,A,B,C,C,B,D,D,C,B,B,B,C,A,D,A,A,C,C,B,B,A,C,C,A,C,A,B,C
INST006,10,4,B,A,A,D,B,D,B,A,A,B,B,A,B,B,C,B,D,D,B,B,C,B,D,C,D,A,A,C,A,B,A,C,A,D,C,B,B,A,C
INST006,15,4,B,B,B,B,B,D,C,A,B,C,B,A,B,D,C,B,A,D,B,B,D,B,C,C,D,A,A,D,B,B,C,D,D,D,A,B,D,A,C
INST006,20,4,B,B,D,B,C,B,B,A,A,C,B,C,B,D,C,B,D,D,C,B,C,B,C,C,A,A,A,D,A,B,A,C,C,D,A,B,A,B,C
INST006,25,4,B,C,B,B,B,D,C,A,B,C,D,A,B,D,B,B,D,D,C,B,B,B,C,C,D,A,D,C,B,B,A,A,C,D,A,B,A,B,C
INST006,30,4,A,B,B,B,B,D,C,C,B,C,B,D,A,D,C,B,C,C,A,B,A,B,C,C,C,A,B,C,B,B,A,C,A,B,A,B,B,A,C
INST006,35,4,B,A,B,B,C,B,B,A,B,C,B,A,B,D,C,B,D,B,B,B,B,A,C,D,A,D,A,C,A,B,C,D,C,D,B,B,X,A,C
INST006,40,4,B,C,D,B,B,D,B,A,C,C,B,A,C,D,B,B,D,D,A,B,B,B,C,C,A,A,D,C,B,A,B,C,C,C,A,B,B,B,C
INST006,45,4,B,B,A,D,B,D,B,A,A,C,B,A,B,D,C,B,D,D,A,B,C,D,A,A,D,A,A,C,A,B,C,C,A,C,C,B,B,A,C
INST007,4,4,A,B,D,C,C,D,C,B,D,D,C,D,C,B,D,B,C,D,D,A,B,B,C,C,D,A,D,A,B,D,A,B,D,D,B,A,A,A,C
INST007,9,4,A,B,B,D,D,D,C,C,D,C,D,B,B,B,B,B,C,D,A,B,B,D,C,A,D,A,D,C,A,C,D,B,D,C,D,D,B,A,C
INST007,14,4,A,D,A,D,C,B,C,A,D,C,C,D,C,D,C,B,C,D,B,A,D,B,C,C,D,A,B,B,C,B,A,A,D,B,A,C,B,A,C
INST007,19,4,C,A,A,D,A,D,C,A,C,C,D,X,C,D,B,B,C,B,B,B,C,X,C,C,D,A,D,B,B,D,A,B,D,C,C,B,B,A,C
INST007,24,4,C,B,A,D,B,D,C,B,C,C,C,D,D,C,C,B,D,D,D,B,A,B,C,C,D,A,B,B,C,D,A,A,D,D,D,C,B,A,A
INST007,29,4,A,C,B,C,B,B,C,A,A,C,D,C,D,B,B,A,D,A,C,B,C,D,C,C,B,A,A,B,B,B,B,C,B,D,C,B,B,B,C
INST007,34,4,X,B,C,B,D,D,C,B,C,C,C,D,B,D,D,B,C,D,C,A,C,B,A,A,C,A,A,A,B,B,B,B,B,D,D,D,B,A,B
INST007,39,4,A,D,C,D,B,D,B,B,A,C,A,A,B,B,C,B,D,D,B,D,B,C,A,C,D,A,D,C,B,D,B,C,D,D,A,B,D,B,C
INST007,44,4,C,D,X,B,D,C,C,A,D,B,C,A,B,D,C,B,D,D,B,D,C,B,C,C,D,D,B,D,A,C,A,C,B,D,A,C,B,A,B
INST007,54,4,C,D,A,D,C,C,C,B,C,C,B,B,A,A,B,B,A,D,B,B,D,B,B,C,D,A,D,B,B,D,B,B,B,D,D,B,B,A,C
INST007,59,4,C,D,A,D,C,D,C,A,C,D,D,A,D,D,A,A,B,D,A,D,B,D,C,A,D,A,B,B,B,A,B,B,B,D,C,C,B,A,C
